full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,145073,145073,23152,124,124,13,https://github.com/anthropics/claude-code
claude-code-best/claude-code,22515,22515,16476,19,19,2,https://github.com/claude-code-best/claude-code
jarmuine/claude-code,2298,2298,5911,1,1,0,https://github.com/jarmuine/claude-code
shareAI-lab/learn-claude-code,76782,76782,12343,92,92,8,https://github.com/shareAI-lab/learn-claude-code
codeaashu/claude-code,3327,3327,3668,6,6,-1,https://github.com/codeaashu/claude-code
Alishahryar1/free-claude-code,54955,54955,8770,131,131,11,https://github.com/Alishahryar1/free-claude-code
tanbiralam/claude-code,2255,2255,2790,3,3,0,https://github.com/tanbiralam/claude-code
ChinaSiro/claude-code-sourcemap,9670,9670,14604,8,8,-1,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1787,1787,2610,2,2,0,https://github.com/pengchengneo/Claude-Code
RishabhK103/claude-code,105,105,7134,0,0,0,https://github.com/RishabhK103/claude-code
hesreallyhim/awesome-claude-code,54060,54060,4711,71,71,5,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,65929,65929,6542,27,27,-1,https://github.com/shanraisshan/claude-code-best-practice
davila7/claude-code-templates,30740,30740,3492,33,33,8,https://github.com/davila7/claude-code-templates
musistudio/claude-code-router,37239,37239,3129,14,14,-1,https://github.com/musistudio/claude-code-router
LING71671/Open-ClaudeCode,949,949,1221,0,0,0,https://github.com/LING71671/Open-ClaudeCode
Onewon/claude-code,181,181,2216,0,0,0,https://github.com/Onewon/claude-code
Donchitos/Claude-Code-Game-Studios,25093,25093,3582,51,51,5,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,25075,25075,2903,29,29,2,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3294,3294,3805,0,0,0,https://github.com/oboard/claude-code-rev
anthropics/claude-code-action,8871,8871,2139,6,6,2,https://github.com/anthropics/claude-code-action
ponponon/claude_code_src,2338,2338,3526,0,0,0,https://github.com/ponponon/claude_code_src
Piebald-AI/claude-code-system-prompts,12668,12668,2039,8,8,-1,https://github.com/Piebald-AI/claude-code-system-prompts
techjarves/ClaudeCode-Portable,1455,1455,478,16,16,7,https://github.com/techjarves/ClaudeCode-Portable
liuup/claude-code-analysis,3921,3921,2063,3,3,1,https://github.com/liuup/claude-code-analysis
T-Lab-CUHKSZ/claude-code,328,328,608,0,0,1,https://github.com/T-Lab-CUHKSZ/claude-code
pedrohcgs/claude-code-my-workflow,1582,1582,3028,2,2,-1,https://github.com/pedrohcgs/claude-code-my-workflow
ochamber/claude-code,3,3,4815,1,1,-1,https://github.com/ochamber/claude-code
ykdojo/claude-code-tips,10087,10087,815,7,7,0,https://github.com/ykdojo/claude-code-tips
diet103/claude-code-infrastructure-showcase,10018,10018,1228,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9627,9627,719,1,1,0,https://github.com/frankbria/ralph-claude-code
chauncygu/collection-claude-code-source-code,2832,2832,2456,1,1,0,https://github.com/chauncygu/collection-claude-code-source-code
lintsinghua/claude-code-book,4238,4238,829,7,7,0,https://github.com/lintsinghua/claude-code-book
hangsman/claude-code-source,794,794,1757,0,0,0,https://github.com/hangsman/claude-code-source
wanshuiyin/Auto-claude-code-research-in-sleep,16125,16125,1383,37,37,7,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
ChrisWiles/claude-code-showcase,6067,6067,575,1,1,0,https://github.com/ChrisWiles/claude-code-showcase
alex000kim/claude-code,234,234,328,0,0,0,https://github.com/alex000kim/claude-code
FlorianBruniaux/claude-code-ultimate-guide,5970,5970,777,6,6,-1,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
